STABBR,UNITID,CITY,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
PA,418409,York,17402-4696,,104.0,,
PA,418427,Downingtown,19335,0.5532,104.0,,
PA,418445,Reynoldsville,15851,0.7895,24.0,,
PA,418454,Johnstown,15904-2998,,189.0,,
PA,418481,Lewistown,17044-1697,0.7667,39.0,,
PA,418515,Ford City,16226,,168.0,,
PA,418524,Oil City,16301,0.625,61.0,,
PA,418533,Willow Street,17584,,422.0,,
PA,418542,Lebanon,17042,,165.0,,
PA,418560,Indiana,15701-1465,,95.0,,
PA,418588,Towanda,18848-9731,0.7619,41.0,,
PA,418603,Shippenville,16254-8975,0.7714,63.0,,
PA,418612,Hazle TWP.,18202,,19.0,,
PA,418658,West Mifflin,15122,,189.0,,
PA,419332,Monroeville,15146,,5.0,,
PA,419341,Philadelphia,19146,,46.0,12725.0,
PA,419484,Meadville,16335,,28.0,,
PA,430227,Monroeville,15146-2229,,119.0,,
PA,430908,Clearfield,16830,,64.0,,
PA,430971,Broomall,19008,1.0,43.0,,
PA,431600,Pittsburgh,15219-5166,0.8571,154.0,15315.0,
PA,438212,Pottsville,17901,,188.0,11005.0,
PA,438221,Lewisburg,17837,,265.0,11346.0,
PA,440174,Pittsburgh,15229,,65.0,,
PA,440217,Mill Creek,17060,,36.0,,
PA,441089,Blairsville,15717-1301,,499.0,,
PA,441672,Springville,18844,,66.0,,
PA,442064,Glenside,19038-4535,,,,
PA,442356,Lancaster,17601,0.6658,1532.0,27568.0,
PA,443377,Sunbury,17801,,76.0,16779.0,
PA,443395,Dickson City,18519,,5.0,9720.0,
PA,443784,Trevose,19053,,1788.0,13857.0,
PA,444103,Pittsburgh,15214-2229,,,,
PA,444307,West Mifflin,15122,,86.0,,
PA,444811,Wyncote,19095,,216.0,,
PA,445799,Exton,19341,,1311.0,,
PA,446455,Meadville,16335,,34.0,15662.0,
PA,446640,Harrisburg,17101-2208,,476.0,23900.0,
PA,446996,Chambersburg,17201,,83.0,,
PA,448691,Bethlehem,18018,,,,
PA,448770,Warminster,18974,,285.0,,
PA,448859,Bethlehem,18017,,115.0,16779.0,
PA,450605,Pittsburgh,15237,,74.0,,
PA,451495,Tannersville,18372,,27.0,,
PA,451662,Pittsburgh,15222-4332,,2936.0,17014.0,
PA,455947,Downington,19335,,99.0,,
PA,456542,Scranton,18509,,,,
PA,456579,Allentown,18109,,568.0,11180.0,
PA,457943,Somerset,15501-4309,,70.0,,
PA,457952,Allentown,18106,,168.0,,
PA,458450,Carlisle,17013,,84.0,9828.0,
PA,458830,Springfield,19064,,133.0,,
PA,460385,Lewistown,17044,0.4267,46.0,18142.0,
PA,460598,Upper Darby,19082,,578.0,,
PA,461193,Monroeville,15146-2388,,181.0,,
PA,461218,Pittsburgh,15235-3718,,159.0,,
PA,469586,York,17402-8046,,78.0,,
PA,474997,Essington,19029,,355.0,16648.0,
PA,479956,University Park,16802-1503,0.6679,8108.0,13988.0,
PA,480134,Elizabethtown,17022-2298,0.9286,328.0,,
PA,480189,North East,16428,,751.0,18450.0,
PA,481021,Leesport,19533-9112,,39.0,,
PA,482608,Ft. Washington,19034,1.0,338.0,17572.0,
PA,482927,Wilkes-Barre,18702,,125.0,11640.0,
PA,483054,Pittsburgh,15220,,78.0,,
PA,483346,Harrisburg,17110,,40.0,,
PA,483753,Lancaster,17602-3809,,37.0,,
PA,483823,Philadelphia,19138-1324,,171.0,,
PA,484783,Philadelphia,19103,,141.0,9960.0,
PA,485236,Mars,16046,,36.0,,
PA,485397,Wyncote,19095,,106.0,,
PA,485856,Philadelphia,19107-1105,1.0,36.0,12625.0,
PA,486105,Norristown,19401-0000,,8.0,,
PA,488369,Norristown,19401-5163,,46.0,,
PA,490258,Reading,19611-2040,,49.0,,
PA,20651601,Scotland,172540473,,,,
PA,21078401,Philadelphia,19115,,,,
PA,21130701,Perkasie,189440277,,,4418.0,
PA,21130702,Bristol,190070277,,,4418.0,
PA,21287801,Lancaster,176023403,,,6473.0,
PA,21287802,Gettysburg,173253403,,,6473.0,
PA,21287803,Lebanon,170425235,,,6473.0,
PA,21287804,York,174045235,,,6473.0,
PA,21429001,Pulaski,161432522,,,,
PA,21437901,Tannersville,18372,,,4230.0,
PA,21510501,Villanova,190853699,,,,
PA,21608301,Altoona,16602,,,16608.0,
PA,37593901,Altoona,166024457,,,,
PA,44378401,Springfield,19064,,,13857.0,
PA,44378403,Philadelphia,19102,,,13747.0,
PA,44378404,Trevose,19053,,,13857.0,
PA,44378405,Warrendale,15086,,,13857.0,
PA,44378406,Center Valley,18034,,,13857.0,
PA,45794301,Bedford,15522,,,,
PA,47503308,Philadelphia,191224906,,,,
